10-09 10:26:22.421|DEBUG|FileSystem:Copying file C:\Users\Alex\AppData\Local\Temp\Playnite\7312563a-00d0-44c7-911a-c8ca374b6207.jpg to C:\Users\Alex\AppData\Roaming\Playnite\library\files\49a3bb59-de95-425f-ba84-5d8755acd833\f29aed31-2ab2-486c-b8ee-05762fcbd71c.jpg
10-09 10:26:22.421|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkSVGh0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTMxMjMvY29udGVudC9TaGVlcCAoRXVyb3BlKSAoRW4sRnIsRGUsRXMsSXQpLnppcBojU2hlZXAgKEV1cm9wZSkgKEVuLEZyLERlLEVzLEl0KS56aXA= from RomM plugin
10-09 10:26:22.421|DEBUG|Downloader:Downloading data from https://images.igdb.com/igdb/image/upload/t_1080p/co5xir.jpg to C:\Users\Alex\AppData\Local\Temp\Playnite\37894562-c1db-46f2-8ed6-ee1e7ee58b17.jpg.
10-09 10:26:22.706|DEBUG|FileSystem:Copying file C:\Users\Alex\AppData\Local\Temp\Playnite\37894562-c1db-46f2-8ed6-ee1e7ee58b17.jpg to C:\Users\Alex\AppData\Roaming\Playnite\library\files\195b9b30-3f2c-4cb4-8d96-6d6362d3d0d2\cab2d720-acff-459e-81d9-b798af7de59f.jpg
10-09 10:26:22.706|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkScmh0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTIzODIvY29udGVudC9TaGlrYWt1aSBBdGFtYSBvIE1hcnVrdSBTdXJ1LiBBZHZhbmNlIC0gS2FuamksIEtlaXNhbiAoSmFwYW4pLnppcBpBU2hpa2FrdWkgQXRhbWEgbyBNYXJ1a3UgU3VydS4gQWR2YW5jZSAtIEthbmppLCBLZWlzYW4gKEphcGFuKS56aXA= from RomM plugin
10-09 10:26:22.712|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkSgQFodHRwOi8vMTkyLjE2OC4yLjExNzo4MTIzL2FwaS9yb21zLzEyMDM5L2NvbnRlbnQvU2hpa2FrdWkgQXRhbWEgbyBNYXJ1a3UgU3VydS4gQWR2YW5jZSAtIEtva3VnbywgU2Fuc3V1LCBTaGFrYWksIFJpa2EgKEphcGFuKS56aXAaUFNoaWtha3VpIEF0YW1hIG8gTWFydWt1IFN1cnUuIEFkdmFuY2UgLSBLb2t1Z28sIFNhbnN1dSwgU2hha2FpLCBSaWthIChKYXBhbikuemlw from RomM plugin
10-09 10:26:22.712|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkSf2h0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTMyMTEvY29udGVudC9TaGltdXJhIEtlbiBubyBCYWthIFRvbm9zYW1hIC0gQmFrdXNob3UgVGVua2EgVG91aXRzdSBHYW1lIChKYXBhbikgKFJldiAxKS56aXAaTlNoaW11cmEgS2VuIG5vIEJha2EgVG9ub3NhbWEgLSBCYWt1c2hvdSBUZW5rYSBUb3VpdHN1IEdhbWUgKEphcGFuKSAoUmV2IDEpLnppcA== from RomM plugin
10-09 10:26:22.712|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkSVGh0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTI5NzYvY29udGVudC9TaGluIEtpc2VrYWUgTW9ub2dhdGFyaSAoSmFwYW4pLnppcBojU2hpbiBLaXNla2FlIE1vbm9nYXRhcmkgKEphcGFuKS56aXA= from RomM plugin
10-09 10:26:22.712|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkSb2h0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTI0NDUvY29udGVudC9TaGluIE1lZ2FtaSBUZW5zZWkgLSBEZXZpbCBDaGlsZHJlbiAtIEhvbm9vIG5vIFNobyAoSmFwYW4pLnppcBo+U2hpbiBNZWdhbWkgVGVuc2VpIC0gRGV2aWwgQ2hpbGRyZW4gLSBIb25vbyBubyBTaG8gKEphcGFuKS56aXA= from RomM plugin
10-09 10:26:22.712|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkST2h0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTIyMTMvY29udGVudC9TaGluIE1lZ2FtaSBUZW5zZWkgKEphcGFuKS56aXAaHlNoaW4gTWVnYW1pIFRlbnNlaSAoSmFwYW4pLnppcA== from RomM plugin
10-09 10:26:22.712|DEBUG|Downloader:Downloading data from https://images.igdb.com/igdb/image/upload/t_1080p/wge3rsqmcu9xw5yrzdgk.jpg to C:\Users\Alex\AppData\Local\Temp\Playnite\6953552f-7743-4ddb-a12b-a568324c99ff.jpg.
10-09 10:26:22.915|DEBUG|FileSystem:Copying file C:\Users\Alex\AppData\Local\Temp\Playnite\6953552f-7743-4ddb-a12b-a568324c99ff.jpg to C:\Users\Alex\AppData\Roaming\Playnite\library\files\48a6b43a-d4f2-48dc-a689-2beab773ddeb\38f303d2-ce6f-4d0a-9c1b-d4ce495be8e8.jpg
10-09 10:26:22.915|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkScGh0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTI1NTMvY29udGVudC9TaGluIE1lZ2FtaSBUZW5zZWkgLSBEZXZpbCBDaGlsZHJlbiAtIE1lc3NpYWggUmlzZXIgKEphcGFuKS56aXAaP1NoaW4gTWVnYW1pIFRlbnNlaSAtIERldmlsIENoaWxkcmVuIC0gTWVzc2lhaCBSaXNlciAoSmFwYW4pLnppcA== from RomM plugin
10-09 10:26:22.915|DEBUG|Downloader:Downloading data from https://images.igdb.com/igdb/image/upload/t_1080p/co7prm.jpg to C:\Users\Alex\AppData\Local\Temp\Playnite\19b566e1-9b32-455b-bf58-511794c04a0f.jpg.
10-09 10:26:23.127|DEBUG|FileSystem:Copying file C:\Users\Alex\AppData\Local\Temp\Playnite\19b566e1-9b32-455b-bf58-511794c04a0f.jpg to C:\Users\Alex\AppData\Roaming\Playnite\library\files\ac5fc8b4-34e8-4ee7-befa-1dcb7b21df89\dd3793f3-abed-4912-bc2f-5de24259f956.jpg
10-09 10:26:23.127|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkScmh0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTMxNjgvY29udGVudC9TaGluIE1lZ2FtaSBUZW5zZWkgLSBEZXZpbCBDaGlsZHJlbiAtIFB1enpsZSBkZSBDYWxsISAoSmFwYW4pLnppcBpBU2hpbiBNZWdhbWkgVGVuc2VpIC0gRGV2aWwgQ2hpbGRyZW4gLSBQdXp6bGUgZGUgQ2FsbCEgKEphcGFuKS56aXA= from RomM plugin
10-09 10:26:23.127|DEBUG|Downloader:Downloading data from https://images.igdb.com/igdb/image/upload/t_1080p/co7prf.jpg to C:\Users\Alex\AppData\Local\Temp\Playnite\151fb2b8-80b0-41b0-8d36-dfee83b0900a.jpg.
10-09 10:26:23.227|DEBUG|FileSystem:Copying file C:\Users\Alex\AppData\Local\Temp\Playnite\151fb2b8-80b0-41b0-8d36-dfee83b0900a.jpg to C:\Users\Alex\AppData\Roaming\Playnite\library\files\268d27b2-f64f-4277-9511-879a20e09236\6af498ad-da02-46fb-9971-f37a664d9ade.jpg
10-09 10:26:23.227|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkSUmh0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTMwOTUvY29udGVudC9TaGluIE1lZ2FtaSBUZW5zZWkgSUkgKEphcGFuKS56aXAaIVNoaW4gTWVnYW1pIFRlbnNlaSBJSSAoSmFwYW4pLnppcA== from RomM plugin
